id,is_contractor
ed9f8b9b-6200-4b4a-97bb-72da55852695,FALSE
6ab499b6-9c49-40cb-9ca6-a81f8433b1c5,FALSE
bf874ae9-53d3-4662-a192-b860e2242bf1,FALSE
fec714c8-0f9a-4228-a554-d416deebf85e,FALSE
2d4a44cc-5dc0-4701-a230-29ec8c278522,FALSE
8f257d35-4af3-470d-843f-9088a320c673,FALSE
f288be76-1c7a-4ff6-bebe-d3c6d9401ec1,TRUE
e7ac47fc-1222-4b6d-baa6-a9fa02ba33bb,FALSE
8071ae06-4d25-4917-8060-970022cd8552,FALSE
fbc0b226-0c4e-4fdf-a38c-9d7031fee56a,FALSE
97cbe999-213f-4213-ad46-3086ac7e66b6,FALSE
c521b9f1-4d20-41cc-b05c-57824f196f48,FALSE
4fa92b80-d47b-4e35-b7c5-39e65385e1c4,FALSE
b24ece5f-f06d-424a-a66e-9b00d86d2c2f,FALSE
831548c8-05fa-4c11-945f-13062626508d,FALSE
179fd4e1-804d-44d6-bf82-99c5dde53381,FALSE
a91aa140-1ad1-4bb5-a21f-8ca02a80be6d,TRUE
af2fd1c6-662f-4967-81f2-6f98791dceac,FALSE
44918a2e-b2f9-47e1-863e-d558fe38d7fe,FALSE
b8df0900-34a7-42ac-9915-d2246f184459,FALSE
777493cf-b860-4bc2-a72d-41a8d12cac30,TRUE
19140dc5-b991-4209-862d-b6f58243db2f,FALSE
9061205f-a247-4a01-873a-c31832527a24,FALSE
5b764219-2643-4298-a4fb-703a58a90457,FALSE
f2801dbe-f9e3-41e0-94ce-735a33f5ea3b,FALSE
85872e0a-3135-4de5-8cf4-4706f62a691e,FALSE
1fdcb70f-6661-4ae1-ac07-0d1629e5fe2d,TRUE
052ce553-3994-4dbe-bcaf-938d0c4f1dba,FALSE
3a7066c4-84e2-4abc-a08a-344c48102bd4,FALSE
0a90df19-3688-42eb-bb4c-d949a526609d,TRUE
b995692b-4dd5-4e71-9538-a928d6a27a57,FALSE
69ec1590-2191-4c87-9847-fc689f2edd48,FALSE
14b88ce5-aaf5-4ddd-b48e-0801080bd742,FALSE
967f3d4e-ee5c-403c-b9ea-a5df153806c4,FALSE
83f746d1-5b50-4d40-92c6-97268e01e7d6,FALSE
90668000-4a92-4fba-ac40-4f0366b2ed6f,FALSE
e3208f95-b033-40a8-a16e-3905d990cf77,FALSE
697cf8fe-654d-44e3-8093-c9855d7e72e1,FALSE
299e77a9-3e15-4b62-9f7f-7dbd239c2c73,TRUE
e31a6f29-fb84-4e04-bbf4-7e6702c05035,TRUE
0f101423-721a-4ab6-9bf0-a9a20c0266c8,FALSE
c1b82d57-9e1b-4ebd-be50-bfa50eee47b7,FALSE
14c495b1-c399-466e-ab1e-0316bc4657ba,FALSE
83f94ad7-6993-40a4-8e95-9807ae2ae14c,FALSE
f2f32cf2-cc46-413d-99f0-1a5b0d6acbc0,FALSE
4eacb632-acb8-4816-bc5a-a0c739660db2,FALSE
72786f76-b692-4306-8fb6-df4efe77fdfd,FALSE
615de4b4-57bd-4dc6-aaab-7e66871e992a,TRUE
1e221d11-c937-4906-8472-5f9c079a0849,TRUE
1e9577c4-9e52-498e-a8e2-6ef4e9e2d951,TRUE
bf73b112-dcc6-461d-b75c-d77933a94575,FALSE
5527ce3f-502c-47da-9a40-c76c96be5962,FALSE
9d39cf3d-178e-4532-b354-9248292efe2c,FALSE
bfa11dda-6e98-430a-be6a-8491903384c7,TRUE
e23f7225-0950-4c87-b2b6-c3e11d2c041e,TRUE
98bf5f13-37c9-4a27-bc9c-05be756fb8c0,FALSE
d2827d3b-bcd4-44f0-a365-663200cf7cc5,FALSE
0d06b23d-c27c-46a0-adc1-92c78514db24,FALSE
50c16ed8-61bf-4318-a701-28c91ccf2c61,FALSE
27ba42a3-3f3f-43eb-87f6-09933ab4b788,FALSE
6205ad04-0627-4420-b866-72d2a9b64bbf,FALSE
745de89a-33eb-4879-a1ba-f27246fdfad6,FALSE
8edc99da-5c77-4321-b249-31ebda287f14,FALSE
cbab4a6d-70e7-4a3f-a3ac-41aa5bb72426,FALSE
7b3da860-74bc-42b2-8035-f8b9b37148b3,FALSE
0dfdffcb-7499-46b2-a5b9-85f3c92eeb04,TRUE
1c476eda-928a-48dd-b593-4062dec68242,FALSE
f41f6a06-a49c-4391-a93a-d6bb21ad6754,FALSE
98deef34-8b3e-49fe-803f-ab26df4d13fb,FALSE
0034a2c9-966d-4597-9c53-d6db387db76b,FALSE
535c3497-4bf0-496f-9cb2-6a4d66800467,FALSE
aa5a2a54-d4aa-4d0d-a944-3a832de9a1e3,FALSE
3d8c8fa7-5a39-4c59-a596-0707996c1511,FALSE
550108eb-fbd6-4d81-8132-3a02dfdcb35f,TRUE
0b764725-f19c-4dbc-9c37-6ab8fedb41b7,FALSE
76722dd5-6a7f-47cb-8921-535d1538cf0e,TRUE
a12bd9c7-9617-4dc7-8c2d-c545ab0d2a0a,FALSE
4d44f2c6-77f1-48db-88e6-29d711cdbe8e,FALSE
6c14f48e-4f5f-482d-a00c-452d63204b84,TRUE
973ebbf6-359a-4805-bca8-1b8aeeaabd37,TRUE
ef00072a-5090-4826-81ee-5d549cfc1202,TRUE
48dd2071-e4ff-4806-a810-675c77dfbbee,TRUE
c8bdf0d4-7c07-4c88-8865-62554dde07b6,TRUE
1c0d1b06-2581-435b-aaf0-9eac30436981,FALSE
0a6b1bfa-f93f-41af-b524-28d07f0ee7cd,TRUE
cdf09aac-c14d-405c-8cea-37f757039014,FALSE
4ecdf9bf-5b36-418a-872e-7b77883298c2,FALSE
a0388e95-3c64-4d8a-b7f1-f356a20316c5,FALSE
52decf17-b2a8-44e8-a251-750c9d9e900b,TRUE
a8d6f400-16f5-4728-a066-72aa44ccf4cb,TRUE
0b6b9254-4258-4d23-a52f-a03ea633df70,TRUE
77ceaaca-919e-4eb5-bc29-18489a86c973,FALSE
decf3759-1fca-45d0-9bcc-0f66b20181b6,FALSE
56f1faaa-7077-4255-a115-39e6ebf2de1b,TRUE
7657dc37-9f04-4ecc-a12a-492783631dda,FALSE
7645c72c-c478-4eac-b978-068d1b7c50f4,FALSE
a1b69138-aafc-494b-a4cd-41ec528eea6e,FALSE
053e4771-e01a-4cb6-83b9-af51465c49bb,FALSE
1fa36daf-6846-400b-b0f7-72df77d6d9db,FALSE
fa561af7-1d48-4aa6-8bf6-13e82a0e8c1f,FALSE
d5e0f00b-f2ed-4523-a198-7fba24d83f26,TRUE
e0515446-2fc2-46ef-bd86-1ba625eb36fe,TRUE
b4330019-d572-4176-b3b3-a86bdb48ff57,FALSE
8cfe4da6-7417-4bd7-a235-f536f58a950a,FALSE
07934724-5a05-4693-afbb-532085c0db19,FALSE
f9993639-603c-4828-9260-538379ac0e8a,FALSE
091744fe-73b9-422e-ad6c-65ca6ff4786d,FALSE
09d3a728-b5f9-4ce7-918e-f1b62919c632,FALSE
8e9cd19a-b3f0-4b6a-8e57-7d39a29219ba,FALSE
c4928e34-2daf-49f3-86c9-856d6e61cb7e,TRUE
46a217bf-8c20-4382-923b-0f63fd976b52,FALSE
d9092581-937a-4fe5-b74d-3f34e20cc79e,FALSE
f52abac2-1d25-40bf-852d-558f8267a9e3,FALSE
6b4fce67-71e5-4bb2-96a0-dd936e05c5dc,FALSE
8d720dda-7277-49be-8d66-b5344af26287,FALSE
1c9b39ff-0b33-43b8-93a0-4ad572cbc349,FALSE
c1c79987-af11-44cc-a6d5-5b11b20d9cdc,FALSE
23a9509d-7c4c-48ed-b586-ea64bbe33742,FALSE
29ad434a-4494-4d22-b0fa-87010a8dd9b0,TRUE
03f4910d-70a4-4810-94d0-73dbf8eae32c,FALSE
b01126fe-aa2f-4f80-a8d6-e3dd16cb4047,FALSE
03dd44d7-f01f-478f-a65b-6438bed53f4b,FALSE
b8024f7b-8dad-4d97-9199-d57bfe682a8f,FALSE
f3e77ce0-32ac-4f42-9a08-068810e8ff11,FALSE
